,Survived,Pclass,Sex,Age,Fare
0,0,3,male,22.0,7.25
1,1,1,female,38.0,71.2833
2,1,3,female,26.0,7.925
3,1,1,female,35.0,53.1
6,0,1,male,54.0,51.8625
7,0,3,male,2.0,21.075
8,1,3,female,27.0,11.1333
9,1,2,female,14.0,30.0708
11,1,1,female,58.0,26.55
12,0,3,male,20.0,8.05
13,0,3,male,39.0,31.275
14,0,3,female,14.0,7.8542
16,0,3,male,2.0,29.125
18,0,3,female,31.0,18.0
20,0,2,male,35.0,26.0
21,1,2,male,34.0,13.0
23,1,1,male,28.0,35.5
24,0,3,female,8.0,21.075
25,1,3,female,38.0,31.3875
27,0,1,male,19.0,263.0
33,0,2,male,66.0,10.5
34,0,1,male,28.0,82.1708
35,0,1,male,42.0,52.0
37,0,3,male,21.0,8.05
39,1,3,female,14.0,11.2417
40,0,3,female,40.0,9.475
41,0,2,female,27.0,21.0
43,1,2,female,3.0,41.5792
49,0,3,female,18.0,17.8
50,0,3,male,7.0,39.6875
51,0,3,male,21.0,7.8
52,1,1,female,49.0,76.7292
54,0,1,male,65.0,61.9792
56,1,2,female,21.0,10.5
57,0,3,male,28.5,7.2292
58,1,2,female,5.0,27.75
60,0,3,male,22.0,7.2292
61,1,1,female,38.0,80.0
62,0,1,male,45.0,83.475
63,0,3,male,4.0,27.9
67,0,3,male,19.0,8.1583
68,1,3,female,17.0,7.925
69,0,3,male,26.0,8.6625
70,0,2,male,32.0,10.5
72,0,2,male,21.0,73.5
73,0,3,male,26.0,14.4542
74,1,3,male,32.0,56.4958
75,0,3,male,25.0,7.65
79,1,3,female,30.0,12.475
80,0,3,male,22.0,9.0
81,1,3,male,29.0,9.5
83,0,1,male,28.0,47.1
85,1,3,female,33.0,15.85
86,0,3,male,16.0,34.375
88,1,1,female,23.0,263.0
89,0,3,male,24.0,8.05
91,0,3,male,20.0,7.8542
92,0,1,male,46.0,61.175
93,0,3,male,26.0,20.575
94,0,3,male,59.0,7.25
97,1,1,male,23.0,63.3583
